,source_language,split,target_language
4250,i 'm not sure what happened .,train,je ne suis pas sûr de ce qui s'est passé .
4251,i 'm looking forward to hearing from you .,train,j'espère avoir de tes nouvelles .
4252,i 'm intrigued .,train,cela m'intrigue .
4253,i 'm definitely impressed .,train,je suis très impressionnée .
4254,i 'm going off to vancouver next week to see my sister .,train,je pars pour vancouver la semaine prochaine pour voir ma sœur .
4255,i 'm italian .,train,je suis italien .
4256,"i 'm sorry , i did n't recognize you .",train,"je suis désolée , je ne vous ai pas reconnu ."
4257,i 'm sorry i missed your birthday .,train,je suis désolé d'avoir raté votre anniversaire .
4258,i 'm allergic to dogs .,train,je suis allergique aux chiens .
4259,i 'm ready .,train,je suis prêt .
4260,i 'm not afraid to be criticized .,train,je n'ai pas peur d'être critiqué .
4261,i 'm not sure when he 'll turn up .,train,je ne suis pas sûr de quand il va se montrer .
4262,i 'm willing to help him .,train,je suis disposé à l'aider .
4263,i 'm staying out of it .,train,je ne veux pas m'en mêler .
4264,i 'm not surprised .,train,je ne suis pas surprise .
4265,"i 'm sorry , i did n't hear you .",train,"je suis désolé , je ne t'ai pas entendue ."
4266,"i 'm not very happy , either .",train,je ne suis pas très heureux non plus .
4267,i 'm not good at pretending .,train,je ne suis pas bon pour faire semblant .
4268,i 'm sure this is just a misunderstanding .,train,je suis sûr que ce n'est qu'un malentendu .
4269,i 'm fascinated .,train,je suis fascinée .
4270,i 'm good at skiing .,train,je suis bon en ski .
4271,i 'm not busy either .,train,je ne suis pas occupée non plus .
4272,i 'm not at all hungry .,train,je n'ai pas faim du tout .
4273,i 'm feeling much better .,train,je me sens bien mieux .
4274,i 'm just tired .,train,je suis simplement fatigué .
4275,i 'm not saying that we ca n't win . i 'm just saying it 's not likely .,train,je ne dis pas que nous ne pouvons pas gagner . je dis juste que ce n'est pas probable .
4276,i 'm too old for tom .,train,je suis trop âgée pour tom .
4277,i 'm not doing that .,train,je ne suis pas en train de faire ça .
4278,i 'm not sure i want to do anything .,train,je ne suis pas certaine de vouloir faire quoi que ce soit .
4279,i 'm not that drunk .,train,je ne suis pas si saoul .
4280,i 'm not going .,train,je ne m'y rends pas .
4281,i 'm thinking about visiting my friend next year .,train,j'envisage de rendre visite à mon ami l'année prochaine .
4282,i 'm afraid i have work to do .,train,je crains d'avoir du travail à faire .
4283,i 'm just going to run down to the bank .,train,je vais seulement courir jusque la banque .
4284,i 'm extremely embarrassed that it has taken so long to reply .,train,je suis extrêmement embarrassé que ça ait pris autant de temps pour répondre .
4285,i 'm not as rich as i was .,train,je ne suis pas aussi riche que je l'étais .
4286,i 'm not stupid enough to lend him money .,train,je ne suis pas assez stupide pour lui prêter de l'argent .
4287,i 'm learning how to drive .,train,j'apprends à conduire .
4288,i 'm healthy .,train,je suis en bonne santé .
4289,i 'm too short to reach the top shelf .,train,je suis trop petit pour atteindre l'étagère du haut .
4290,i 'm glad that the rain has stopped .,train,je suis content que la pluie se soit arrêtée .
4291,i 'm too old to go to germany .,train,je suis trop vieux pour aller en allemagne .
4292,i 'm sorry to be so late . the meeting completely slipped my mind .,train,je suis désolé d'être tellement en retard . j'avais complètement oublié le rendez-vous .
4293,i 'm lucky to have you as a friend .,train,je suis chanceux de vous avoir pour ami .
4294,i 'm accustomed to this .,train,j'y suis habitué .
4295,i 'm a little dizzy .,train,j'ai un peu la tête qui tourne .
4296,i 'm not narrow-minded .,train,je ne suis pas étroite d'esprit .
4297,i 'm feeling fine now .,train,je vais bien maintenant .
4298,i 'm taking care of it .,train,je m'en occupe .
4299,i 'm familiar with the situation .,train,je suis habitué à la situation .
4300,"i 'm canadian , too .",train,"je suis canadien , moi aussi ."
4301,i 'm just a little dizzy .,train,je suis juste un peu pris de vertiges .
4302,i 'm sure that you 'll succeed .,train,je suis sûr que vous allez réussir .
4303,i 'm drinking a beer right now .,train,je bois une bière en ce moment même .
4304,i 'm really happy .,train,je suis vraiment heureux .
4305,"i 'm not an expert , so my answer to your question is just an educated guess .",train,"je ne suis pas un expert , alors ma réponse à ta question est juste une supposition éclairée ."
4306,i 'm not your brother .,train,je ne suis pas votre frère .
4307,i 'm trying to save tom 's life .,train,j'essaye de sauver la vie de tom .
4308,i 'm finicky .,train,je suis méticuleux .
4309,i 'm not feeling particularly hungry .,train,je ne ressens pas particulièrement la faim .
4310,i 'm not sure i want to do this .,train,je ne suis pas sûr de vouloir le faire .
4311,i 'm not selfish .,train,je ne suis pas égoïste .
4312,i 'm not skinny .,train,je ne suis pas maigrichon .
4313,i 'm not going to tell you how to do that .,train,je ne vais pas t'indiquer comment le faire .
4314,i 'm just a tourist .,train,je ne suis qu'un touriste .
4315,i 'm not sure about it .,train,je n'en suis pas sûre .
4316,i 'm going to get my own way this time .,train,"je vais faire à ma manière , cette fois-ci ."
4317,"i 'm sorry , my father 's not here .",train,"je suis désolée , mon père n'est pas là ."
4318,i 'm fussy .,train,je suis tatillonne .
4319,i 'm very tired .,train,je suis très fatigué .
4320,i 'm having some problems compiling this software .,train,j'ai quelques difficultés à compiler ce programme .
4321,i 'm not scared .,train,ça ne me fait pas peur .
4322,i 'm an agent .,train,je suis un agent .
4323,i 'm not sure what you were thinking .,train,je ne suis pas certain de ce que tu pensais .
4324,i 'm not fighting .,train,je ne suis pas en train de me battre .
4325,i 'm not done with you .,train,je n'en ai pas fini avec vous .
4326,i 'm not going to send tom a christmas card .,train,je ne vais pas envoyer une carte de noël à tom .
4327,i 'm glad you brought that up .,train,je suis ravie que vous ayez soulevé ça .
4328,"i 'm so happy , i feel like i could fly .",train,je suis si heureux que je m'élève dans le ciel .
4329,i 'm going to be your lawyer .,train,je vais être ton avocat .
4330,i 'm just lazy .,train,je suis juste paresseuse .
4331,i 'm smarter than you .,train,je suis plus dégourdi que vous .
4332,i 'm an extremely humble person .,train,je suis une personne extrêmement humble .
4333,i 'm done with my chores .,train,j'en ai fini avec mes corvées .
4334,i 'm asking you to tell me how you feel .,train,je vous demande de me dire comment vous vous sentez .
4335,i 'm glad you 're ok again .,train,je suis content que tu ailles à nouveau bien .
4336,i 'm about ready .,train,je suis quasiment prêt .
4337,i 'm sure tom will be home soon .,train,je suis sûre que tom sera bientôt à la maison .
4338,i 'm shooting .,train,je tire .
4339,i 'm careful not to spend too much .,train,je fais attention à ne pas trop dépenser .
4340,"i 'm usually pretty good with faces , but i did n't recognize him at all .",train,"je suis pourtant physionomiste , d'ordinaire , mais je ne l'ai pas du tout reconnu ."
4341,i 'm trying to figure out what you do for fun .,train,j'essaie de comprendre ce que tu fais pour t'amuser .
4342,i 'm very grateful for your help .,train,je suis très reconnaissant pour votre aide .
4343,i 'm ashamed of my past .,train,j'ai honte de mon passé .
4344,i 'm delighted to see you .,train,je suis ravie de vous voir .
4345,i 'm not going to tell you again .,train,je ne vais pas te le répéter .
4346,i 'm happy enough .,train,je suis assez heureux .
4347,i 'm not dead yet .,train,je ne suis pas encore mort .
4348,i 'm not particularly impressed .,train,je ne suis pas particulièrement impressionné .
4349,i 'm sorry i yelled at you .,train,je suis désolée de t'avoir hurlé dessus .
4350,i 'm just trying to help .,train,j'essaie juste d'aider .
4351,i 'm sorry if i embarrassed you .,train,je suis désolé si je vous ai embarrassés .
4352,i 'm fed up with english .,train,j'en ai assez de l'anglais .
4353,i 'm too old for this .,train,je suis trop vieux pour ça .
4354,i 'm kind of a loner .,train,je suis une sorte de solitaire .
4355,i 'm allowing you to go .,train,je t'autorise à y aller .
4356,i 'm not planning anything .,train,je ne prévois rien .
4357,i 'm wondering if i love tom .,train,je me demande si j'aime tom .
4358,i 'm by your side .,train,je suis à tes côtés .
4359,i 'm smarter than you .,train,je suis plus vive que vous .
4360,i 'm not a hundred percent wrong .,train,je ne me suis pas trompé à cent pour cent .
4361,i 'm glad you 're here .,train,je suis contente que tu sois là .
4362,i 'm not sure if he saw it .,train,je ne suis pas sûre qu'il l'ait vu .
4363,i 'm dying for a cold drink .,train,je crève d'envie d'une boisson fraîche .
4364,i 'm concerned about it .,train,cela me préoccupe .
4365,i 'm so sorry . i did n't mean to kick you .,train,je suis vraiment désolé . je n'avais pas l'intention de vous donner un coup de pied .
4366,i 'm sure we can work this out .,train,je suis sûr que nous pouvons résoudre cela .
4367,i 'm washing my hands because they 're dirty .,train,je me lave les mains car elles sont sales .
4368,"i 'm sorry , but i already have a boyfriend .",train,je suis désolée mais j'ai déjà un mec .
4369,i 'm engaged .,train,je suis fiancée .
4370,i 'm not pretty .,train,je ne suis pas jolie .
4371,i 'm here to ask for your help .,train,je suis ici pour requérir ton aide .
4372,i 'm doing this for you .,train,je le fais pour vous .
4373,i 'm off-duty .,train,je ne suis pas en service .
4374,i 'm coming to pick you up .,train,je viens te chercher .
4375,i 'm going out for a drink .,train,je sors prendre un verre .
4376,i 'm not really that interested .,train,je n'y suis pas vraiment si intéressé .
4377,i 'm tom 's neighbor .,train,je suis la voisine de tom .
4378,i 'm afraid of not finishing it in time .,train,j'ai peur de ne pas le finir à temps .
4379,i 'm kind of happy .,train,je suis assez heureux .
4380,i 'm really looking forward to my birthday party .,train,j'attends ma fête d'anniversaire avec beaucoup d'impatience .
4381,i 'm glad to have this opportunity to work with you .,train,je suis heureux d'avoir cette occasion de travailler avec toi .
4382,i 'm afraid for his life .,train,je crains pour sa vie .
4383,i 'm one of you .,train,je suis l'un d'entre vous .
4384,"i 'm sorry , i ca n't help you .",train,je suis désolée de ne pas pouvoir t'aider .
4385,"i 'm an actress , not a model .",train,"je suis actrice , non mannequin ."
4386,i 'm sure everything will be ok .,train,je suis sûre que tout ira bien .
4387,i 'm sorry to have bothered you .,train,je suis désolé de vous avoir dérangées !
4388,"i 'm sorry , i do n't really remember .",train,"je suis désolé , je ne me rappelle pas vraiment ."
4389,i 'm sure you 'll tell me what i want to know .,train,je suis sûr que vous me raconterez ce que je veux savoir .
4390,i 'm not mistaken .,train,je ne fais pas erreur .
4391,i 'm aware of that possibility .,train,je suis conscient de cette possibilité .
4392,i 'm not crazy .,train,je ne suis pas folle .
4393,i 'm afraid of flying .,train,j'ai peur de voler .
4394,i 'm trying to save room for dessert .,train,j'essaie de garder de la place pour le dessert .
4395,"i 'm from tokyo , japan .",train,"je viens de tokyo , japon ."
4396,i 'm unconvinced .,train,je ne suis pas convaincu .
4397,i 'm sure you did what you thought was the right thing to do .,train,je suis sûr que vous avez fait ce que vous pensiez être la chose à faire .
4398,i 'm allowing you to go .,train,je vous autorise à y aller .
4399,i 'm failing at my job .,train,j'échoue dans mon travail .
4400,i 'm not interested in that .,train,je n'y suis pas intéressé .
4401,i 'm living in the city .,train,je vis en ville .
4402,i 'm going to be a lawyer .,train,je vais devenir avocat .
4403,i 'm a little bit jealous .,train,je suis un tantinet jaloux .
4404,i 'm being blackmailed .,train,on me fait chanter .
4405,i 'm not convinced .,train,je ne suis pas convaincue .
4406,i 'm losing weight .,train,je maigris .
4407,i 'm hardly ever home .,train,je ne suis pratiquement jamais chez moi .
4408,i 'm just glad everything worked out .,train,tout est bien qui finit bien .
4409,i 'm drinking water .,train,je bois de l'eau .
4410,i 'm sorry to have disturbed you .,train,je suis désolé de vous avoir dérangé .
4411,i 'm sick of hearing it .,train,j'en ai assez de l'entendre .
